index,peoplepower21_url,name,experience,블로그,트위터,페이스북,party,소속위원회,지역,성별,대수,당선횟수,당선방법,MEMBER_NO
도종환+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=839,도종환,"제20대 국회의원,문재인정부 초대 문화체육관광부 장관",https://blog.naver.com/djhpoem,,https://www.facebook.com/djhpoem,더불어민주당,교육위원회,충북 청주시흥덕구,남,제21대,3선,지역구,2100000000079
류성걸+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=731,류성걸,"제19대 국회의원,기획재정부 제2차관",,sungkull1,https://www.facebook.com/usk57,국민의힘,기획재정위원회,대구 동구갑,남,제21대,재선,지역구,2100000000080
맹성규+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1028,맹성규,"국토교통부 제2차관,제20대 국회의원(남동구갑)",https://blog.naver.com/minjoo_maeng,congressmaeng,https://www.facebook.com/congressmaeng,더불어민주당,농림축산식품해양수산위원회,인천 남동구갑,남,제21대,재선,지역구,2100000000082
문정복+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1112,문정복,"청와대 대통령 비서실 선임행정관,백원우국회의원 보좌관",https://blog.naver.com/indobangrang,,https://www.facebook.com/indobangrang1,더불어민주당,국토교통위원회,경기 시흥시갑,여,제21대,초선,지역구,2100000000083
문진석+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1127,문진석,"충청남도지사 비서실장,대통령직속 균형발전위원회 국민소통위원",https://blog.naver.com/jmoon123,,https://www.facebook.com/profile.php?id=100024518042012,더불어민주당,국토교통위원회,충남 천안시갑,남,제21대,초선,지역구,2100000000084
민병덕+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1100,민병덕,"법무법인 민본 대표변호사,더불어민주당 안양동안갑 지역위원회 위원장",https://blog.naver.com/anyangmin,anyangmin,https://www.facebook.com/anyangmin,더불어민주당,정무위원회,경기 안양시동안구갑,남,제21대,초선,지역구,2100000000085
민형배+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1085,민형배,"문재인대통령 청와대 사회정책비서관,민선 5·6기 광산구청장",https://blog.naver.com/gjminsim,Minhyungbae,https://www.facebook.com/minhyungbae1,더불어민주당,정무위원회,광주 광산구을,남,제21대,초선,지역구,2100000000086
민홍철+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=778,민홍철,"제20대 더불어민주당 국회의원,국방부 고등군사법원 법원장(육군준장)",https://blog.naver.com/rediron2400,minstar21c,https://www.facebook.com/hongchul.min.1,더불어민주당,국방위원회,경남 김해시갑,남,제21대,3선,지역구,2100000000087
박광온+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=868,박광온,"MBC 보도국장,더불어민주당 최고위원",http://blog.naver.com/kopark2012,parkkwangon,https://www.facebook.com/mentpko,더불어민주당,법제사법위원회,경기 수원시정,남,제21대,3선,지역구,2100000000088
박대출+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=777,박대출,"국회의원,국회 코로나19 대책 특위 위원",http://blog.naver.com/dcparkjj,dcparkjj,https://www.facebook.com/daechul.bag,국민의힘,환경노동위원회,경남 진주시갑,남,제21대,3선,지역구,2100000000090
박덕흠+무소속,https://watch.peoplepower21.org/?mid=Member&member_seq=754,박덕흠,"대한전문건설협회 중앙회 회장,제20대 국회의원",http://parkdukhyum.blog.me/,parkdukhyum,https://www.facebook.com/parkdukhyum,무소속,농림축산식품해양수산위원회,충북 보은군옥천군영동군괴산군,남,제21대,3선,지역구,2100000000091
박범계+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=745,박범계,"제20대 국회의원,대전지방법원 판사",http://blog.naver.com/bkfire1004,bkfire1004,https://www.facebook.com/bkfire,더불어민주당,환경노동위원회,대전 서구을,남,제21대,3선,지역구,2100000000092
박병석+무소속,https://watch.peoplepower21.org/?mid=Member&member_seq=86,박병석,"19대 국회부의장,서울특별시 정무부시장",http://blog.naver.com/pbs2100,,https://www.facebook.com/okpbs,무소속,외교통일위원회,대전 서구갑,남,제21대,6선,지역구,2100000000093
박상혁+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1118,박상혁,"문재인정부 청와대 행정관,서울시 정무보좌관",https://blog.naver.com/gimpo_park,,https://www.facebook.com/gimpo.park21,더불어민주당,국토교통위원회,경기 김포시을,남,제21대,초선,지역구,2100000000094
박성민+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1089,박성민,"울산중구청장,전국 시장·군수·구청장협의회 회장",https://blog.naver.com/usmpark,,https://www.facebook.com/usmpark,국민의힘,국토교통위원회,울산 중구,남,제21대,초선,지역구,2100000000095
박성준+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1043,박성준,"JTBC 아나운서,더불어민주당 중앙당 부대변인",https://blog.naver.com/pksjoffice,,https://www.facebook.com/pksj1969,더불어민주당,법제사법위원회,서울 중구성동구을,남,제21대,초선,지역구,2100000000096
박성중+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=897,박성중,"미래통합당 서초구을 국회의원,서초구청장",http://blog.naver.com/sjpark580801,parksungjoong,https://www.facebook.com/sjpark101,국민의힘,과학기술정보방송통신위원회,서울 서초구을,남,제21대,재선,지역구,2100000000097
박수영+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=1064,박수영,"경기도 행정1부지사,한반도선진화재단 대표",https://blog.naver.com/psyfor2020,,https://www.facebook.com/sooyoung.park.165,국민의힘,정무위원회,부산 남구갑,남,제21대,초선,지역구,2100000000098
박영순+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=1088,박영순,"대전광역시 정무부시장,문재인대통령 청와대 선임행정관",https://blog.naver.com/ysb3860,ysb3860,https://www.facebook.com/youngsoon12,더불어민주당,국토교통위원회,대전 대덕구,남,제21대,초선,지역구,2100000000099
박완수+국민의힘,https://watch.peoplepower21.org/?mid=Member&member_seq=967,박완수,"민선3.4기 창원시장,초대통합 창원시장,20대 국회의원",http://blog.naver.com/wansu2u,,https://www.facebook.com/wansu2u,국민의힘,행정안전위원회,경남 창원시의창구,남,제21대,재선,지역구,2100000000100
박완주+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=756,박완주,"천안시을 국회의원,더불어민주당 원내수석부대표",http://blog.naver.com/withwanju,park_wanju,https://www.facebook.com/parkwanju,더불어민주당,행정안전위원회,충남 천안시을,남,제21대,3선,지역구,2100000000101
박용진+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=886,박용진,"제20대 국회의원,민주당 대변인",https://blog.naver.com/left001,hopeparkyongjin,https://www.facebook.com/yongjin.bag,더불어민주당,정무위원회,서울 강북구을,남,제21대,재선,지역구,2100000000102
박재호+더불어민주당,https://watch.peoplepower21.org/?mid=Member&member_seq=899,박재호,"제20대 국회의원,노무현대통령 비서실 정무2비서관",http://blog.naver.com/pjh0586,ourpark,https://www.facebook.com/ourpark20,더불어민주당,행정안전위원회,부산 남구을,남,제21대,재선,지역구,2100000000103
